"test" "R0" "TotalNumCases" "NoMoreEIs" "DayLastCase" "EpidemicPeakNew" "DayEpidemicPeakNew"
"88" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"89" "base parameters" "2.133485" "55269" "561" "559" "386" "187"
"90" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"91" "base parameters" "2.133485" "72278" "626" "622" "483" "163"
"92" "base parameters" "2.133485" "1" "4" "1" "1" "1"
"93" "base parameters" "2.133485" "3" "8" "1" "1" "1"
"94" "base parameters" "2.133485" "9" "78" "76" "1" "1"
"95" "base parameters" "2.133485" "33647" "616" "615" "236" "173"
"96" "base parameters" "2.133485" "1" "5" "1" "1" "1"
"97" "base parameters" "2.133485" "14077" "677" "674" "105" "195"
"98" "base parameters" "2.133485" "2" "23" "22" "1" "1"
"99" "base parameters" "2.133485" "5753" "497" "493" "49" "189"
"100" "base parameters" "2.133485" "36912" "647" "644" "267" "183"
"101" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"102" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"103" "base parameters" "2.133485" "2" "7" "1" "1" "1"
"104" "base parameters" "2.133485" "2" "34" "32" "1" "1"
"105" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"106" "base parameters" "2.133485" "1" "4" "1" "1" "1"
"107" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"108" "base parameters" "2.133485" "10" "100" "98" "2" "89"
"109" "base parameters" "2.133485" "2" "14" "13" "1" "1"
"110" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"111" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"112" "base parameters" "2.133485" "1" "3" "1" "1" "1"
"113" "base parameters" "2.133485" "4908" "592" "591" "43" "169"
"114" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"115" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"116" "base parameters" "2.133485" "6482" "539" "536" "49" "171"
"117" "base parameters" "2.133485" "2310" "532" "530" "21" "156"
"118" "base parameters" "2.133485" "1996" "414" "412" "18" "156"
"119" "base parameters" "2.133485" "7" "123" "75" "1" "1"
"120" "base parameters" "2.133485" "28" "150" "147" "2" "51"
"121" "base parameters" "2.133485" "51751" "789" "778" "370" "179"
"122" "base parameters" "2.133485" "2" "4" "3" "1" "1"
"123" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"124" "base parameters" "2.133485" "1392" "430" "415" "13" "172"
"125" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"126" "base parameters" "2.133485" "3" "28" "25" "1" "1"
"127" "base parameters" "2.133485" "2" "17" "16" "1" "1"
"128" "base parameters" "2.133485" "1" "6" "1" "1" "1"
"129" "base parameters" "2.133485" "6" "80" "78" "1" "1"
"130" "base parameters" "2.133485" "2" "21" "2" "1" "1"
"131" "base parameters" "2.133485" "7668" "493" "492" "60" "210"
"132" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"133" "base parameters" "2.133485" "15747" "668" "667" "115" "197"
"134" "base parameters" "2.133485" "17596" "579" "564" "132" "174"
"135" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"136" "base parameters" "2.133485" "4" "101" "100" "1" "1"
"137" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"138" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"139" "base parameters" "2.133485" "14377" "539" "531" "105" "168"
"140" "base parameters" "2.133485" "2865" "558" "554" "24" "182"
"141" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"142" "base parameters" "2.133485" "15596" "629" "625" "121" "183"
"143" "base parameters" "2.133485" "1028" "444" "443" "12" "161"
"144" "base parameters" "2.133485" "2722" "473" "470" "26" "155"
"145" "base parameters" "2.133485" "7614" "488" "486" "60" "156"
"146" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"147" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"148" "base parameters" "2.133485" "31768" "584" "582" "212" "173"
"149" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"150" "base parameters" "2.133485" "6602" "475" "474" "52" "183"
"151" "base parameters" "2.133485" "2" "30" "28" "1" "1"
"152" "base parameters" "2.133485" "10427" "584" "577" "81" "180"
"153" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"154" "base parameters" "2.133485" "17140" "552" "551" "127" "188"
"155" "base parameters" "2.133485" "596" "370" "365" "10" "206"
"156" "base parameters" "2.133485" "2" "16" "14" "1" "1"
"157" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"158" "base parameters" "2.133485" "4936" "485" "471" "37" "189"
"159" "base parameters" "2.133485" "1" "3" "1" "1" "1"
"160" "base parameters" "2.133485" "12935" "575" "567" "96" "232"
"161" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"162" "base parameters" "2.133485" "17478" "609" "604" "128" "164"
"163" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"164" "base parameters" "2.133485" "14376" "506" "494" "115" "171"
"165" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"166" "base parameters" "2.133485" "37" "299" "298" "2" "152"
"167" "base parameters" "2.133485" "77369" "616" "586" "504" "198"
"168" "base parameters" "2.133485" "31234" "584" "583" "232" "192"
"169" "base parameters" "2.133485" "45873" "727" "722" "287" "181"
"170" "base parameters" "2.133485" "57319" "645" "643" "379" "178"
"171" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"172" "base parameters" "2.133485" "1" "3" "1" "1" "1"
"173" "base parameters" "2.133485" "6718" "521" "520" "50" "195"
"174" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"175" "base parameters" "2.133485" "9231" "660" "659" "75" "163"
"176" "base parameters" "2.133485" "16691" "505" "503" "120" "179"
"177" "base parameters" "2.133485" "1" "2" "1" "1" "1"
"178" "base parameters" "2.133485" "2055" "631" "625" "17" "169"
"179" "base parameters" "2.133485" "1" "6" "1" "1" "1"
"180" "base parameters" "2.133485" "69019" "577" "543" "442" "160"
"181" "base parameters" "2.133485" "2373" "532" "531" "26" "189"
"182" "base parameters" "2.133485" "6261" "496" "494" "48" "167"
"183" "base parameters" "2.133485" "1338" "435" "431" "16" "197"
"184" "base parameters" "2.133485" "33060" "556" "552" "231" "174"
"185" "base parameters" "2.133485" "10801" "578" "577" "79" "188"
"186" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"187" "base parameters" "2.133485" "16988" "557" "540" "126" "196"
"188" "base parameters" "2.133485" "9113" "544" "543" "72" "230"
"189" "base parameters" "2.133485" "2" "5" "3" "1" "1"
"190" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"191" "base parameters" "2.133485" "29779" "673" "671" "212" "180"
"192" "base parameters" "2.133485" "4" "33" "32" "1" "1"
"193" "base parameters" "2.133485" "6565" "554" "553" "54" "200"
"194" "base parameters" "2.133485" "7083" "578" "562" "55" "185"
"195" "base parameters" "2.133485" "13790" "669" "663" "102" "217"
